,A
28,"1975년 사모라 마셸 대통령이 포르투갈로부터 모잠비크를 독립시켰고 그의 부인 그라사 마셸은 아프리카 여성 최초로 교육부 장관이 되기도 했다. 1986년 마셸이 비행기 사고로 죽자 내전으로 어려움을 겪었다. 한편, 모잠비크는 독립 이후부터 사회주의 국가였던 소비에트 연방의 원조를 통해 계획경제를 받아들였고, 그것이 1990년대 중반까지 이어졌다. (대한민국은 국민의 모잠비크 방문을 금지시키기도 했다.) 그러나 아프리카의 상황을 파악하지 않고 시작된 계획경제의 부작용, 자국의 기술부족과 외화 부족, 소련 붕괴로 인한 수출감소로 정부는 자본주의 체제로 전환했다. 자본주의 체제를 채택한 새 정부는 5년 임기를 통한 대통령제와, 복수정당제를 선택했다. 동시에 미국과의 관계가 호전되었다. 1995년엔 남아프리카공화국의 주선으로 영국과 식민관계가 없는 국가로서 처음으로 영연방에 가입하였다."
29,"희빈은 경빈 박씨처럼 빼어난 미모와 뛰어난 정치 감각을 가지고 있지는 않았지만, 소박하고 포근한 부덕을 지녀서 상대방에게 늘 호감을 주는 인상의 소유자였다. 게다가 그녀는 당시의 권신 홍경주의 딸로서 궁 내에서 상당한 영향력을 갖고 있었다. 희빈 홍씨는 중종(조선 중종)이 부담스러워하던 조광조 일파를 몰아내려 할 때 나뭇가지에 꿀을 바르는 기지를 보여 중종(조선 중종)의 총애를 독차지하기도 했다. 그러나 1521년 홍경주가 죽으면서 희빈 홍씨의 세력은 몰락하고 만다. 그러나 경빈 박씨의 세력은 건재했고 문정왕후는 이들과 암투를 벌이게 된다. 한편 별로 빼어난 미모도 아니고 궁중에 이렇다 할 배경도 없이 새 왕비로 들어온 문정왕후는 그나마 딸들만 계속 생산하고 있었다. 그런 탓에 그녀는 궁중에 자신의 세력을 심고 또 아들을 낳을 때까지 장장 17년이라는 긴 세월을 온갖 수모와 굴욕을 당하면서 참고 견뎌 내야 했다."
30,"그리고 모두가 보는 앞에서 해리가 죽었다고 한다. 모두가 침울해 할때 네빌이 슬퍼하지 말라는 이야기에 해리는 자극을 받아 깨어나고 다시 호그와트 성 안에서 전투가 시작된다. 하지만 이미 많은 죽음을 먹는 자들이 떠난 상태였고 싸움이 끝날때 즈음 해리와 볼드모트는 단둘이서만 싸움을 하게 된다. 둘이서 팽팽한 싸움을 할때 네빌이 그리핀도르의 검으로 내기니(Nagini)를 죽이게 되고 해리의 마법(엑스펠리아르무스)가 볼드모트에 다다르면서 볼드모트는 부활한지 3년만에 완전히 소멸된다. 해리는 볼드모트가 가져간 딱총나무 지팡이를 가지지 않고 부러뜨려 호그와트 다리 아래로 던져버림으로서 죽음의 성물을 모두 소멸해 버린다. 해리와 지니 위즐리가 결혼해 첫째인 제임스, 둘째인 알버스 세베루스, 셋째인 릴리를 낳게 된다. 둘째인 알버스가 호그와트에 입학하는 날에 킹크로스 기차역에 갔을때 론과 결혼한 헤르미온느의 자녀인 로즈를 발견하고 또다른 호그와트의 시작을 지켜보게 된다."
31,"아데바요르는 이집트의 모하메드 아부트리카와 가나의 마이클 에시엔을 제치고 CAF 54개 회원국 국가대표팀 감독의 투표를 통해 수상자로 결정되었다. 그는 아프리카 최우수 선수로 선정된 최초의 토고인이었다. 아데바요르는 독일에서 열린 2006년 FIFA 월드컵에 토고가 본선에 오르는데 힘을 거들었고, 대한민국(대한민국 축구 국가대표팀), 스위스(스위스 축구 국가대표팀), 그리고 프랑스(프랑스 축구 국가대표팀)와의 조별 리그 3경기에서 모두 선발로 출전했지만, 단 한 골도 넣지 못했고, 국가대표팀도 조 최하위로 탈락했다. 아데바요르는 대회 후 주장으로 선임되었다. 그는 2006년 아프리카 네이션스컵에 차출되었고, 국가대표팀의 첫 경기에서 감독과의 언쟁 끝에 교체로 출전했다. 아데바요르는 본래 대회를 포기하고 귀가하기로 결정을 내렸지만, 국가대표팀 훈련에 남았다. 토고는 조별 리그 3경기에서 모두 패해 탈락했다."
32,"시스템 쇼크(영어: System Shock)는 루킹 글래스 스튜디오에서 개발하고 오리진 시스템즈가 발매한 액션 롤플레잉 게임이다. 1994년에 발매되었고, 게임은 사이버펑크적인 2072년의 가상의 우주 정거장을 배경으로 한다. 플레이어는 익명의 해커를 조종하게 되며, 인공지능의 악의적인 계획을 막아야 한다. 동시간대에 나온 일인칭 게임과는 다르게, 시스템 쇼크는 실제적인 3차원 환경을 지원하여, 위 아래를 보거나 기어오르고, 몸을 숙이고, 점프하고, 옆으로 기댈 수 있었다. 평론가들은 시스템 쇼크를 칭찬했고 이 장르에 큰 혁신을 불러왔다고 묘사했다. 이 게임은 나중에 다수의 명예의 전당 목록에 올랐다. 이런 기술적인 위업과 평론가들의 찬사에 힘입어 시스템 쇼크의 판매량도 발매 시기에 비해 많이 팔렸다."
33,"ESPN의 간판 방송은 ""스포츠 센터""이며 2007년 2월 11일에 3만회를 돌파했다. 방송은 코네티컷 주 브리스톨의 스튜디오에서 만들고 있으며, 노스캐롤라이나 주 샬럿과 로스앤젤레스에도 사무소가 있다. 로스앤젤레스 사무소는 L.A. 라이브라는 종합 단지를 2009년 열었다. 미국과 150개국의 1억 가정에 ESPN 인터내셔널을 통해 송출되고 있다. 1997년에 월트 디즈니 컴퍼니가 ESPN을 인수하여 현재까지 소유하고 있다. ESPN은 ESPN 3D를 통해 2010년 FIFA 월드컵 25경기를 3D로 중계했다. 하지만 월트디즈니 측은 최근 ESPN에서는 3D방송 수익이 감소가 되었고, ESPN은 연말까지는 채널사업을 철수할 수밖에 없는 상황이 되었다."
34,"나라에 공을 세운 무열공 배현경·배정지·배인경·배맹관·배상곤·배경을 추모하기 위해 위패를 모신 서원이다. 조선 철종 7년(1856)에 세웠으며, 고종(재위 1863∼1907) 때 흥선대원군의 서원철폐령으로 철폐하였다가 복원되었다. 건물은 앞면 5칸·옆면 3칸으로 왼편에 방 2칸, 가운데에 대청 2칸, 오른편에 방 1칸으로 구성되어 있다. 지붕은 옆에서 보면 여덟 팔(八)자 모양인 팔작지붕으로 되어 있다."
35,"연주 시차(年周視差)는 어떤 천체를 바라보았을 때 지구의 공전에 따라 생기는 시차를 뜻하며, 지구 공전의 결정적 증거이다. 연주 시차는 실제 시차의 절반, 즉 태양과 바라보는 천체를 잇는 직선, 그리고 지구와 바라보는 천체를 잇는 직선이 이루는 각으로 나타낸다. 최초의 연주 시차측정은 1838년 프리드리히 베셀이 백조자리61번별을 주기적으로 관측하여 0.62초각이라는 정확한 연주 시차를 측정에 성공한다. 1분은 1°의 1/60에 해당하며 1초는 1분의 1/60에 해당한다. 연주 시차를 구하면 해당 천체와의 거리를 구할 수 있다. 그러나 대부분의 별은 매우 멀리 있어 연주시차도 아주 작기 때문에(최대가 센타우루스자리 알파의 연주 시차인 0.76초각) 지구의 대기 산란 효과 등으로 인해 미세한 연주시차는 계산할 수 없으며, 때문에 연주시차를 사용해 천체와의 거리를 구하는 것은 매우 제한적이며 상대적으로 가까운 별들의 거리만 잴 수 있다. 지표에서 측정하면 멀게는 100파섹 정도에 있는 별까지의 거리를 알 수 있다."
36,"《Remapping The Human Soul》은 전작들과는 달리 무겁고 음침한 분위기에서 트랙을 이끌어간다. DJ 투컷이 프로듀싱을 담당한 1CD The Brain은 정부와 신에 대한 불신(""Nocturne"", 〈희생양〉), 살인을 저지른 남자의 이야기(〈피해망상 Pt.1〉) 안락사로 유명한 잭 케보키언에 대한 부제가 붙은 곡(""Mr.Doctor"") 등 대중적으로 다루기 무거운 곡들이 배치되어있고, 타블로가 담당한 2CD The Heart는 버림받은 로봇들의 이야기(""Broken Toys""), 타블로와 미쓰라 진의 랩이 겹쳐져 이루어진 자살 암시(〈행복합니다〉), 안티팬들을 겨냥한 신랄한 욕설(""FAQ"")이 담기는 등 전작 《Swan Songs》에서 나타나지 않았던 암흑적이고 어두운 느낌이 음반 전체를 지배한다. 그러면서 〈Fan〉, 〈Love Love Love〉 등에서 중독성 있는 멜로디로 보여준 팝(대중음악)과의 성공적인 조화는 일반 대중이 듣기에 산뜻한 분위기를 담고 있다. 2007년 1월 23일에 음반을 발매하자마자 타이틀 곡인 〈Fan〉과 후속곡인 〈Love Love Love〉는 음악 차트 상위권을 기록하였다. 2월 3일에는 타이틀 곡 〈Fan〉이 음반 발매 10일 만에 벅스 차트 1위를 기록하였고, 2월 6일에는 쥬크온 차트 1위를 기록하는 등 각종 음반 판매량과 온라인 음악차트에서 1위를 석권하였다. 《Remapping The Human Soul》는 2007년 1월 음반 판매량 순위 1위를 기록하며 발매한 지 1달 만에 10만 장을 돌파하였다. 《Remapping The Human Soul》의 총 판매량은 약 13만장을 기록했다."
37,"체조는 고대 그리스에서 비롯되었으나 경기로 발전, 근대 스포츠로서 세계적으로 널리 알려진 것은 근대 올림픽 부활 이후부터다. 오늘날과 같은 체조는 19세기 초 독일에서 프리드리히 얀이라고 하는 학교 선생이 체계를 세우기 시작했다고 한다. 그중에서도 기계 체조는 여러 국제 체조 경기 대회에서 실시하고 있는 경기 종목으로, 1896년 제1회 아테네 올림픽 때부터 정식 종목으로 채택되었다. 그리고 리듬 체조는 1984년 제23회 로스앤젤레스 올림픽 때부터 정식 종목이 되었다."
38,"사건 발생 당시 사코는 보스턴에, 반제티는 플리머스에 있었다는 것을 증언한 많은 증인들이 나타났다. 어째서 무기를 갖고 있었냐는 질문에 그들은 자신들의 무정부주의 신념을 법정에서 설명했고, 아마 이로 인해 배심원들에게 선입견을 주게 된 것으로 보인다. 1921년 7월 14일, 배심원은 사코와 반제티에게 1급 살인 유죄를 선고했다. 숱한 항소가 제기되었으나 모두 1심 판사 웹스터 세이어에 의해 기각되었다. 이 사건은 1925년까지 전세계적인 관심의 대상이 되었다. 하버드 법대 교수 펠릭스 프랑크푸르트는 그들의 무고함을 주장했다. 사코와 반제티는 1927년 4월 23일 전기의자로 사형당했고, 엄청난 항의가 뒤따라 파리, 런던 등에서 폭동이 일어났다."
39,"이병헌은 2012년 영화 《》에서의 인기에 힘입어 이어 《지.아이.조 2》에서도 주연 스톰 쉐도우 역을 맡았다. 지.아이.조 2에서 같이 출연한 브루스 윌리스와의 인연으로 2013년 개봉한 영화 《》 (원 제목은 레드 2)에 캐스팅되었다.2015년 아놀드 슈왈츠네거 컴백 작품 《터미네이터 제니시스》에서 로버트 패트릭 만큼이나 냉철한 T-1000 역할을 완벽하게 소화해 냈고 학창시절 별명이 터미네이터 였다고 한다 2012년 4월 16일 배우 이민정과의 열애설이 떠돌아 화제가 됐으나 소속사에서 이를 부정했다. 그러나 2012년 8월 19일 4개월만에 열애설을 인정하면서, 두사람은 2013년 8월 10일 서울 그랜드 하얏트 호텔에서 결혼식을 올리게 되었다. 2년만인 2015년 3월 31일 아들 이준후가 태어났다. 1998년 이병헌은 폭행혐의로 불구속 입건됐다. 1998년 12월 1일 서울 용산구 나이트 클럽에서 서태지와 아이들 前 멤버 이주노의 친구와 주먹다짐을 한것으로 드러났다. 이병헌은 2008년 가을에 만나 교제를 하기 시작하여 2009년 봄에 헤어진 여성으로부터 민사 소송을 당했다."
40,"VISA는 재귀 약자로 Visa International Service Association를 뜻한다. 본사는 미국 캘리포니아 주 샌프란시스코에 있다.BIN은 4로 시작한다. FIFA 월드컵, 국제 올림픽 위원회의 주요 스폰서로, 월드컵, 올림픽 경기 입장권 및 경기장 내 모든 가맹점에서는 비자카드만 사용 가능하다. 산하 브랜드로는 ATM망인 PLUS, 직불 카드망인 비자 일렉트론 및 인터링크가 있다. 단, 대한민국에서 인터링크가 달린 카드는 신한카드의 탑스파워 체크카드뿐이며, 그 외 국제현금카드는 거의 마스터카드 산하 브랜드인 마에스트로 브랜드로 발행 중이다. 대한민국 기준으로 해외신판 로열티 1%를 받으나, 2016년 10월부터 대한민국에만 1.1%로 인상하겠다고 언급해 크게 논란을 빚고 있다. 결국 2017년부터 1.1%로 인상됐다."
41,"모가디슈에 있는 고대 파크르 아드-딘 모스크의 판화  에리트리아 해의 페리플러스에 따르면 1세기 만큼 일찍이 인도양을 따라 무역이 모가디슈 지역에 있는 소말리족에서 다른 커뮤니티까지 연결되었었다. 서기 900년 경 도착한 아라비아 반도 출신 무슬림 무역업자들과 함께, 모가디슈는 상업을 위한 적합한 지역의 중심이 되었다. 모가디슈는 도시 형성 초기에 페르시아 세력의 영향을 받았다. 모가디슈라는 이름은 아랍어로 ""샤의 소재지""를 뜻하는 '마카드샤'(Maq'ad Shah)로부터 기인했다.[1]"
