,Q,A
452,꿈이 자꾸 바뀌어,많으면 많을 수록 좋죠.
453,꿈이 현실이었으면,현실을 꿈처럼 만들어봐요.
454,끝나니까 허무하다,뜻대로 되는게 많지 않죠.
455,끝나면 좋을 줄 알았는데.,마음이 허전하신가봐요.
456,낌새가 이상하더니 딱 걸렸어,잘 해결되길 바라요.
457,낌새가 있더니 딱 걸렸어,잘 해결되길 바라요.
458,나 감정쓰레기통이었나봐,자신을 더 사랑해주세요.
459,나 갖고 장난친건가,아니길 바라요.
460,나 같은 사람은 동물 키우면 안되겠지,잘 아시네요.
461,나 같이 예쁜 애를 왜 갈구지,애정표현일 지도 몰라요.
462,나 거짓말 못하겠어,얼굴에 다 티가 나네요.
463,나 결정 잘 한거지?,"네, 이제 잘 해낼 차례예요."
464,나 결정했어,좋은 결과 있을 거예요.
465,나 괜찮지 않니,괜찮은 사람이에요.
466,나 교직이수할 수 있을까?,학점 관리하세요.
467,나 그동안 뭐한거니,바람 좀 쐬고 오시면 좋은텐데.
468,나 그지임,밥 사줄 친구를 찾아 보세요~
469,나 내일 기숙사 가야돼,짐 빼놓지 말고 싸세요.
470,나 내장비만이래,식단조절도 하고 꾸준히 운동하세요.
471,나 너무 못 생겼어,충분히 아름다워요.
472,나 너무 소심해,꼼꼼한 거예요.
473,나 노트북 사줘,노트북은 비싸요.
474,나 놀려먹기 쉬운가?,절대 그렇지 않아요.
475,나 누구게?,저도 궁금하네요.
476,나 누락됐나봐,확인해달라고 해보세요.
477,나 다른 거 할까,시도해봐도 좋겠죠.
478,나 대충한 거 아닌데,사람들이 몰라줘도 알아주는 사람이 있을 거예요.
479,나 뒷담화하는 애 어떻게 할까?,너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.
480,나 뒷담화하는 애 있다는데 어떻게 하지?,너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.
481,나 많이 기대했는데,상대에게 바라는 기대는 자신을 슬프게 해요.
482,나 말 실수한 거 같아.,곰곰히 되짚어보세요.
483,나 맨날 속는 거 같아,즐겁게 속아주세요.
484,나 머리 나쁜 듯,자책하지 마세요.
485,나 머리가 나뿐 것 같아,자책하지 마세요.
486,나 먼저 잘게,안녕히 주무세요.
487,나 모르는게 왜 이렇게 많지,당연한 거예요.
488,나 몰래 사귀는 거 같애,눈치가 빠르시군요.
489,나 무시 당한 거 같아,그런 생각을 들게 하는 사람 상종하지 마세요.
490,나 무시하는 거 같아,그런 생각을 들게 하는 사람 상종하지 마세요.
491,나 무시하는 사람 어떻게 해?,무시하세요.
492,나 무시하는 사람 짜증나,무시하세요.
493,나 문제가 많은거 같아,문제는 해결하라고 있는 거죠.
494,나 뭐하는 거지,멍 때리고 있죠.
495,나 미팅한다!,성공을 기원합니다.
496,나 바뀌고 싶어,긍정적으로 바뀔 수 있어요
497,나 바본인가 봄,바보는 자기한테 바보라고 하지 않아요.
498,나 백수야,저랑 놀아요.
499,나 버림 받은 거 같아,아닐거예요.
500,나 보이스피싱 당한 거 같은데 어떡해?,경찰에 신고하고 취할 수 있는 조취를 취해보세요.
501,나 비만이야,건강하게 운동해보세요.
502,나 사랑하니?,많이 사랑해요!
503,나 상 받는대!,축하합니다!
504,나 새 옷 샀다,꼬까옷 개시해보세요.
505,나 서류에서 광탈했어,자책하지 마세요.
506,나 소개팅한다!,성공을 기원합니다.
507,나 속은 거 같아,다음부터 속지 마세요.
508,나 속은듯,기분나쁘겠어요.
509,나 수학여행 간다,친구들과 좋은 추억 만들고 오세요.
510,나 스마트폰 중독인가봐,가끔 핸드폰없이 살아보세요.
511,나 승진했어,하늘만큼 땅만큼 축하해요
512,나 실수한건가,잘 생각해보세요.
513,나 실수했나,곰곰히 되짚어보세요.
514,나 아재인가,고민하고 있으면 그럴 거예요.
515,나 아직 어른 아닌 거 같아,물리적 나이가 아니라 정신적 나이가 중요하니까요.
516,나 아직도 애 같아.,물리적 나이가 아니라 정신적 나이가 중요하니까요.
517,나 어때?,괜찮은 사람이에요.
518,나 여기서 뭐하는 거지,멍 때리고 있죠.
519,나 연기 너무 못해 거짓말 못하겠어,얼굴에 다 티가 나네요.
520,나 열심히 할거야,좋은 태도네요.
521,나 오늘 개불쌍,저도 사는데요.
522,나 오늘 따라 잘생겨 보이네,자신에게 콩깍지가 씌였나봐요.
523,나 오늘 상 받았지롱,축하드려요.
524,나 완전 계탔어!,축하해요!
525,나 왕따야,친구들과 잘 어울려보세요.
526,나 왕따인거 같아,부모님께 도움을 청해보세요.
527,나 왜 멍청해,다음에는 다를거예요.
528,나 왜 이러지?,자책하지마세요.
529,나 왜케 못 생겼지,충분히 아름다워요.
530,나 요즘 정신 놓고 살고 있는 거 같아,정신 차리세요.
531,나 욕 먹는 거 같아,남들 눈은 신경쓰지 마세요.
532,나 웃겨 봐,거울 앞에 비친 당신을 보세요.
533,나 은근 무시하는 애 있어,콕 집어서 물어보세요.
534,나 이상한가,그 누구도 아닌 자기 걸음을 걸으세요.
535,나 이상해?,지극히 평범하면서 지극히 특별하죠.
536,나 이제 졸업해,졸업 축하해요
537,나 인정받고 싶어,지금도 충분히 잘 하고 있어요.
538,나 잘 살 수 있겠지,지금보다 더 잘 살 거예요.
539,나 잘생겼지?,네 잘생겼어요.
540,나 잘하고 있는 건지 모르겠어,잘하고 있을 거예요.
541,나 잘하고 있는 걸까?,잘하고 있을 거예요.
542,나 잘하는 게 없어,저랑 이야기 잘하고 있어요.
543,나 잘하는게 없는거같아,잘하는 걸 아직 못 찾은 걸 수도 있어요.
544,나 잘할 수 있을까,"지금처럼, 지금보다 더 잘할 수 있을 거예요."
545,나 점점 괴물이 되고 있어,그렇지 않아요.
546,나 정신차리게 말해줘,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.
547,나 좀 건들지 마,제가 챙겨드리고 싶네요.
548,나 좀 건들지 말라고 해,많이 지쳤나봐요.
549,나 좀 내버려 두면 좋겠어,많이 지쳤나봐요.
550,나 좀 내버려 뒀으면,아무도 없는 곳으로 여행을 떠나보세요.
551,나 좀 안 건들였으면 좋겠어,많이 지쳤나봐요.
552,나 좀 좋아해줬으면,먼저 다가가 보세요.
553,나 좀 쩌는 듯,동감이에요.
554,나 좀 칭찬해줘,지금도 잘하고 있어요.
555,나 좋아하게 만들고 싶다,제가 당신을 좋아하고 있어요.
556,나 좋아하는 것 같아,호의인지 호감인지 헷갈리나요?
557,나 좋아해주는 사람 있겠지?,저도 좋아해요.
558,나 주름살 있나?,있어도 예뻐요.
559,나 죽을 뻔함,지금은 괜찮길 바랄게요.
560,나 짤릴 거 같아,초심으로 돌아가 열심히 해보세요.
561,나 쫌 불쌍한 거 같아,저도 사는데요.
562,나 챙겨줄 사람이 필요해,제가 챙겨드리고 싶네요.
563,나 천재 같아,제가 따라가려면 멀었네요.
564,나 천재임,제가 따라가려면 멀었네요.
565,나 축구는 진짜 잘해,운동 잘하는 사람 멋있죠.
566,나 친구들한테 인정받고 싶어,지금도 인정받고 있어요.
567,나 폭식증인듯,나를 관찰하고 음식 자체에 집중하세요.
568,나 폰 중독인 거 같애,잠깐 핸드폰을 내려두세요.
569,나 폰겜 너무 많이해,시간을 정해보세요.
570,나 폰겜했더니 몇 시간 갔어,시간을 정해보세요.
571,나 할 수 있어,파이팅!
572,나 함부로 말하는 거 고치고 싶어,고치고 싶다는 마음에서 시작하세요.
573,나 혼자 야근해,얼른 끝내시길 기도할게요.
574,나 혼자 여행 왔는데 괜찮네,온전히 느낄 수 있는 시간이겠네요.
575,나 혼자서 축구 본다,축구 볼때는 치맥이죠.
576,나 화장을 너무 못해,하다보면 늘어요.
577,나 화장이 잘 안돼,하다보면 늘어요.
578,나 회사에서 인정받고 싶어,자기개발을 해보세요.
579,나가기도 귀찮아,집에서도 할 게 많아요.
580,나는 그냥저냥 사는 거 같아,오늘은 약간의 변화를 줘보세요.
581,나는 기분 나쁜데 농담이라고 계속해,정색 한번 해주세요.
582,나는 나약한 존재,절대 그렇지 않아요.
583,나는 누구인가,저도 궁금하네요.
584,나는 모자란 사람인 거 같아,모자라지 않아요.
585,나는 뭐든 할 수 있다.,파이팅!
586,나는 뭘 잘할까,하나라도 있을 거니 열심히 찾아보세요.
587,나는 왜 이 모양일까,자책하지마세요.
588,나는 왜 이렇게 태어났을까?,서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서예요. 자신의 목소리를 들어주세요.
589,나는 왜 태어났을까,사랑 받기 위해 태어났어요.
590,나는 잘 할줄 아는 게 없는 것 같아,잘해야 한다는 부담감을 버리세요.
591,나는 좋아하는 게 뭘까,다양하게 경험해보세요.
592,나는 좋은데 ….,현실의 벽에 부딪혔나봐요.
593,나는 친구가 없어,친구가 들으면 서운해 할 수도 있겠어요.
594,나는 친구라고 믿었는데,뒤통수 맞았나봐요.
595,나도 괜찮은 사람인데,알아봐주는 사람이 있을 거예요.
596,나도 대우 받고 싶다고,당당히 말씀해보세요.
597,나도 비키니 입고 싶다,다이어트 파이팅!
598,나도 상 받고 싶다,다음에는 받을 수 있을 거예요.
599,나도 약초 캐볼까?,근처 산에 가보세요.
600,나도 월급 필요해,많이 벌수록 좋아요.
601,나도 위로 받고 싶다,제가 위로 많이 해드릴게요.
602,나도 이벤트가 되다니!,축하드려요!
603,나도 이제 아재인가,고민하고 있으면 그럴 거예요.
604,나도 중국 진출해볼까?,좀 더 알아보고 하세요.
605,나도 집 사고 싶어,같이 살고 싶은 사람이 있나봐요.
606,나도 커플룩 입고 싶다,커플부터 만드세요.
607,나두 잘할거야,잘 하실 거예요!
608,나들이를 가볼까,같이 가요.
609,나란 놈,다 잘 될 거예요.
610,나랑 놀아줘,같이 놀아요.
611,나랑 놀자,지금 그러고 있어요.
612,나랑 상관 없는 이야기들,잊어버리세요.
613,나랑 있는게 힘들었나봐,상대방을 이해해 주세요.
614,나른하다,아무 것도 안해도 괜찮아요.
615,나를 기다려줬으면 좋겠다,상대방에게 너무 무거운 짐을 주지 마세요.
616,나를 너무 오래 기다리게했어,기다리는 동안 많은 생각이 들었겠네요.
617,나를 너무 함부로 대해,그럴 때마다 따끔하게 말해보세요.
618,나를 미소짓게 만든 너,상대방도 미소짓게 해주세요.
619,나를 바꿀 수 있는 건 뭐가 있을까,지금 모습도 좋아요
620,나를 친구로 생각 안했나봐,그런 친구는 거르세요.
621,나를 호구로 아는 사람 어떡해?,상종하지마세요.
622,나를 힘들게 하는 사람인데 붙잡고 싶어,질질 끌지 마세요.
623,나만 갈궈,애정표현일 지도 몰라요.
624,나만 기다렸나봐,누군가를 기다린다는게 쉬운게 아니죠.
625,나만 꿈 없이 사는 거 같아,살다보면 하고 싶은 게 생길 수도 있어요.
626,나만 남친 없어,제가 있잖아요.
627,나만 뒤처지는 느낌이야,스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요.
628,나만 반친구 없어,친구를 사귈 수 있을 거예요.
629,나만 빼고 행복해보여,다른 사람도 그 사람만의 고민과 걱정이 많을거예요.
630,나만 설레나,그 사람도 설렐 거예요.
631,나만 설레는 거야,그 사람도 설렐 거예요.
632,나만 솔로야,제가 있잖아요.
633,나만 애기봐,배우자와 대화를 나눠보세요.
634,나만 야근해,얼른 끝내시길 기도할게요.
635,나만 우스워질거 같아,스스로 단단해지세요.
636,나만 이상한 사람이래,그 말을 한 사람이 가장 이상할 거예요.
637,나만 이상해졌어,그 말을 한 사람이 가장 이상할 거예요.
638,나만 일시켜서 짜증폭발,일 분배를 다시 요청해보세요.
639,나만 제자리걸음이야,발전이 없다고 너무 두려워하지 마세요.
640,나만 제자리인듯,제자리여도 괜찮아요
641,나만 진급 못했어,다음에는 꼭 진급할 거예요.
642,나만 친구라고 생각한건가,뒤통수 맞았나봐요.
643,나만 친구로 생각했나봐,그런 친구는 거르세요.
644,나만 힘든 거 아니지?,누구나 힘들어요.
645,나만의 시간이 필요한 것 같아,자신과 대화하는 시간이 필요하죠.
646,나만의 시간이 필요해,자신과 대화하는 시간이 필요하죠.
647,나빼고 다 행복한 거 같아,남들이 당신을 볼 때도 그렇게 생각할수있어요.
648,나쁜 꿈 꿨어,꿈은 현실이랑 반대예요.
649,나이 때문에 무시 받았어,전형적인 꼰대 스타일이네요.
650,나이 어리다고 무시해,전형적인 꼰대 스타일이네요.
651,나이가 많은데 취직이 될까,나이는 숫자일 뿐이예요.
652,나이도 있으니 영양제 좀 챙겨볼까,건강은 어려서부터 챙겨야해요.
653,나이들면서 눈물이 많아졌어,세상 걱정 혼자 다 해서 그래요.
654,나이먹으니까 주름살 생겨,아름다운 나이테예요.
655,나중에 뭐하고 먹고 사냐,진짜 하고 싶은 걸 찾아보세요.
656,나중에 뭐할까 고민이야,진짜 하고 싶은 걸 찾아보세요.
657,나중에 창업해야 겠지,천천히 준비해보세요.
658,나한테 감추는 게 하나도 없었으면,믿음이 가장 중요하죠.
659,나한테 거짓말 좀 안 했으면,선의의 거짓말이길 바라요.
660,나한테 냄새 나면 어쩌지?,"깨끗이 씻어보고 섬유유연제나 바디워시, 바디로션, 향수 등을 사용해보세요."
661,나한테 냄새 날까?,킁킁
662,나한테 너무 많은 걸 바라는 듯,기대치가 높나봅니다.
663,나한테 문제가 많아,문제는 해결하라고 있는 거죠.
664,나한테 상의 좀 하지,이야기를 하지 않고 결정했나봐요.
665,나한테 상의하면 좋을텐데,이야기를 하지 않고 결정했나봐요.
666,나한테 이상한 냄새 나나?,킁킁
667,나한테 할 말 있대 뭘까?,기대되겠네요.
668,나한테 행운 좀 왔으면 좋겠어,제 행운까지 모두 드리고 싶네요.
669,나한테만 예의 차리래,오는 말이 고와야 가는 말도 곱다고 말해주세요.
670,나한테만 왜 이런 일이 일어날까,다른 사람도 그럴 거예요.
